Approved symbol	Approved name	Ensembl gene ID
LINC00502	long intergenic non-protein coding RNA 502	ENSG00000224851
LINC00504	long intergenic non-protein coding RNA 504	ENSG00000248360
LINC00505	symbol withdrawn, see [HGNC:50679](/data/gene-symbol-report/#!/hgnc_id/HGNC:50679)	
LINC00506	long intergenic non-protein coding RNA 506	ENSG00000281392
LINC00507	long intergenic non-protein coding RNA 507	ENSG00000256193
LINC00508	long intergenic non-protein coding RNA 508	ENSG00000256971
LINC00511	long intergenic non-protein coding RNA 511	ENSG00000227036
LINC00513	long intergenic non-protein coding RNA 513	ENSG00000233559
LINC00515	long intergenic non-protein coding RNA 515	
LINC00517	long intergenic non-protein coding RNA 517	ENSG00000259091
LINC00518	long intergenic non-protein coding RNA 518	ENSG00000183674
LINC00519	long intergenic non-protein coding RNA 519	ENSG00000258955
LINC00520	long intergenic non-protein coding RNA 520	ENSG00000258791
LINC00523	long intergenic non-protein coding RNA 523	ENSG00000196273
LINC00524	long intergenic non-protein coding RNA 524	ENSG00000259023
LINC00525	long intergenic non-protein coding RNA 525	ENSG00000146666
LINC00526	long intergenic non-protein coding RNA 526	ENSG00000264575
LINC00527	long intergenic non-protein coding RNA 527	
LINC00528	long intergenic non-protein coding RNA 528	ENSG00000269220
LINC00529	long intergenic non-protein coding RNA 529	ENSG00000236827
LINC00533	long intergenic non-protein coding RNA 533	ENSG00000235570
LINC00534	long intergenic non-protein coding RNA 534	ENSG00000253394
LINC00536	long intergenic non-protein coding RNA 536	ENSG00000249917
LINC00537	long intergenic non-protein coding RNA 537	
LINC00538	long intergenic non-protein coding RNA 538	ENSG00000281664
LINC00539	long intergenic non-protein coding RNA 539	ENSG00000224429
LINC00540	long intergenic non-protein coding RNA 540	ENSG00000276476
LINC00543	long intergenic non-protein coding RNA 543	ENSG00000260704
LINC00544	long intergenic non-protein coding RNA 544	ENSG00000122043
LINC00545	symbol withdrawn, see [HGNC:42727](/data/gene-symbol-report/#!/hgnc_id/HGNC:42727)	
LINC00547	long intergenic non-protein coding RNA 547	
LINC00548	long intergenic non-protein coding RNA 548	
LINC00550	long intergenic non-protein coding RNA 550	ENSG00000281778
LINC00552	long intergenic non-protein coding RNA 552	ENSG00000279770
LINC00554	long intergenic non-protein coding RNA 554	ENSG00000260738
LINC00555	long intergenic non-protein coding RNA 555	ENSG00000261057
LINC00556	long intergenic non-protein coding RNA 556	ENSG00000260131
LINC00557	long intergenic non-protein coding RNA 557	ENSG00000260962
LINC00558	long intergenic non-protein coding RNA 558	ENSG00000261517
LINC00559	long intergenic non-protein coding RNA 559	ENSG00000261446
LINC00560	symbol withdrawn, see [HGNC:42768](/data/gene-symbol-report/#!/hgnc_id/HGNC:42768)	
LINC00561	long intergenic non-protein coding RNA 561	ENSG00000261206
LINC00562	long intergenic non-protein coding RNA 562	ENSG00000260388
LINC00563	long intergenic non-protein coding RNA 563	ENSG00000261097
LINC00564	long intergenic non-protein coding RNA 564	ENSG00000260094
LINC00566	long intergenic non-protein coding RNA 566	ENSG00000261498
LINC00567	long intergenic non-protein coding RNA 567	ENSG00000259831
LINC00570	long intergenic non-protein coding RNA 570	ENSG00000224177
LINC00571	long intergenic non-protein coding RNA 571	ENSG00000223685
LINC00572	long intergenic non-protein coding RNA 572	ENSG00000224405
LINC00574	long intergenic non-protein coding RNA 574	ENSG00000231690
LINC00575	long intergenic non-protein coding RNA 575	ENSG00000231782
LINC00578	long intergenic non-protein coding RNA 578	ENSG00000228221
LINC00581	long intergenic non-protein coding RNA 581	
LINC00582	long intergenic non-protein coding RNA 582	ENSG00000229228
LINC00583	long intergenic non-protein coding RNA 583	ENSG00000205636
LINC00587	long intergenic non-protein coding RNA 587	ENSG00000204250
LINC00588	long intergenic non-protein coding RNA 588	ENSG00000215117
LINC00589	long intergenic non-protein coding RNA 589	ENSG00000251191
LINC00592	long intergenic non-protein coding RNA 592	ENSG00000258279
LINC00593	long intergenic non-protein coding RNA 593	
LINC00594	symbol withdrawn, see [HGNC:19712](/data/gene-symbol-report/#!/hgnc_id/HGNC:19712)	
LINC00595	long intergenic non-protein coding RNA 595	
LINC00596	long intergenic non-protein coding RNA 596	ENSG00000259334
LINC00597	long intergenic non-protein coding RNA 597	
LINC00598	long intergenic non-protein coding RNA 598	ENSG00000215483
LINC00601	long intergenic non-protein coding RNA 601	ENSG00000235180
LINC00602	long intergenic non-protein coding RNA 602	
LINC00603	long intergenic non-protein coding RNA 603	ENSG00000250048
LINC00604	long intergenic non-protein coding RNA 604	ENSG00000250585
LINC00605	long intergenic non-protein coding RNA 605	ENSG00000251533
LINC00606	long intergenic non-protein coding RNA 606	ENSG00000226567
LINC00607	long intergenic non-protein coding RNA 607	ENSG00000235770
LINC00608	long intergenic non-protein coding RNA 608	ENSG00000236445
LINC00609	long intergenic non-protein coding RNA 609	ENSG00000257585
LINC00610	long intergenic non-protein coding RNA 610	
LINC00612	long intergenic non-protein coding RNA 612	ENSG00000214851
LINC00613	long intergenic non-protein coding RNA 613	ENSG00000248330
LINC00614	long intergenic non-protein coding RNA 614	
LINC00615	long intergenic non-protein coding RNA 615	ENSG00000196243
LINC00616	long intergenic non-protein coding RNA 616	ENSG00000248307
LINC00618	long intergenic non-protein coding RNA 618	
LINC00619	long intergenic non-protein coding RNA 619	
LINC00620	long intergenic non-protein coding RNA 620	ENSG00000224514
LINC00621	long intergenic non-protein coding RNA 621	ENSG00000262619
LINC00622	long intergenic non-protein coding RNA 622	ENSG00000260941
LINC00623	long intergenic non-protein coding RNA 623	ENSG00000226067
LINC00624	long intergenic non-protein coding RNA 624	ENSG00000278811
LINC00626	long intergenic non-protein coding RNA 626	ENSG00000225826
LINC00628	long intergenic non-protein coding RNA 628	ENSG00000280924
LINC00629	long intergenic non-protein coding RNA 629	ENSG00000227060
LINC00630	long intergenic non-protein coding RNA 630	ENSG00000223546
LINC00632	long intergenic non-protein coding RNA 632	ENSG00000203930
LINC00635	long intergenic non-protein coding RNA 635	ENSG00000241469
LINC00636	long intergenic non-protein coding RNA 636	ENSG00000240423
LINC00639	long intergenic non-protein coding RNA 639	ENSG00000259070
LINC00640	long intergenic non-protein coding RNA 640	ENSG00000258479
LINC00641	long intergenic non-protein coding RNA 641	ENSG00000258441
LINC00642	long intergenic non-protein coding RNA 642	ENSG00000233208
LINC00644	long intergenic non-protein coding RNA 644	ENSG00000259142
LINC00645	long intergenic non-protein coding RNA 645	ENSG00000258548
LINC00648	long intergenic non-protein coding RNA 648	ENSG00000259129
LINC00649	long intergenic non-protein coding RNA 649	ENSG00000237945
LINC00650	long intergenic non-protein coding RNA 650	
LINC00652	long intergenic non-protein coding RNA 652	ENSG00000179935
LINC00654	long intergenic non-protein coding RNA 654	ENSG00000205181
LINC00656	long intergenic non-protein coding RNA 656	ENSG00000233746
LINC00658	long intergenic non-protein coding RNA 658	ENSG00000226995
LINC00659	long intergenic non-protein coding RNA 659	ENSG00000228705
LINC00661	long intergenic non-protein coding RNA 661	ENSG00000205396
LINC00662	long intergenic non-protein coding RNA 662	
LINC00663	long intergenic non-protein coding RNA 663	ENSG00000266904
LINC00664	long intergenic non-protein coding RNA 664	ENSG00000268658
LINC00665	long intergenic non-protein coding RNA 665	ENSG00000232677
LINC00667	long intergenic non-protein coding RNA 667	ENSG00000263753
LINC00668	long intergenic non-protein coding RNA 668	ENSG00000265933
LINC00670	long intergenic non-protein coding RNA 670	ENSG00000179136
LINC00671	long intergenic non-protein coding RNA 671	ENSG00000213373
LINC00673	long intergenic non-protein coding RNA 673	
LINC00674	long intergenic non-protein coding RNA 674	ENSG00000237854
LINC00676	long intergenic non-protein coding RNA 676	ENSG00000234854
LINC00677	long intergenic non-protein coding RNA 677	ENSG00000259717
LINC00678	long intergenic non-protein coding RNA 678	ENSG00000254934
LINC00680	long intergenic non-protein coding RNA 680	ENSG00000215190
LINC00680-GUSBP4	LINC00680-GUSBP4 readthrough, transcribed pseudogene	ENSG00000283352
LINC00681	long intergenic non-protein coding RNA 681	ENSG00000255494
LINC00682	long intergenic non-protein coding RNA 682	ENSG00000245870
LINC00683	symbol withdrawn, see [HGNC:27599](/data/gene-symbol-report/#!/hgnc_id/HGNC:27599)	
LINC00685	long intergenic non-protein coding RNA 685	ENSG00000226179
LINC00686	long intergenic non-protein coding RNA 686	ENSG00000237687
LINC00687	long intergenic non-protein coding RNA 687	ENSG00000228422
LINC00689	long intergenic non-protein coding RNA 689	ENSG00000231419
LINC00690	long intergenic non-protein coding RNA 690	ENSG00000233570
LINC00691	long intergenic non-protein coding RNA 691	ENSG00000224074
LINC00692	long intergenic non-protein coding RNA 692	ENSG00000230891
LINC00693	long intergenic non-protein coding RNA 693	
LINC00696	long intergenic non-protein coding RNA 696	
LINC00698	long intergenic non-protein coding RNA 698	ENSG00000244342
LINC00700	long intergenic non-protein coding RNA 700	ENSG00000234962
LINC00701	long intergenic non-protein coding RNA 701	ENSG00000234556
LINC00702	long intergenic non-protein coding RNA 702	ENSG00000233117
LINC00703	long intergenic non-protein coding RNA 703	ENSG00000224382
LINC00705	long intergenic non-protein coding RNA 705	ENSG00000225269
LINC00706	long intergenic non-protein coding RNA 706	ENSG00000281186
LINC00707	symbol withdrawn, see [HGNC:53170](/data/gene-symbol-report/#!/hgnc_id/HGNC:53170)	
LINC00708	long intergenic non-protein coding RNA 708	ENSG00000232170
LINC00709	long intergenic non-protein coding RNA 709	ENSG00000230014
LINC00710	long intergenic non-protein coding RNA 710	ENSG00000229240
LINC00824	long intergenic non-protein coding RNA 824	ENSG00000254275
LINC00836	long intergenic non-protein coding RNA 836	
LINC00837	long intergenic non-protein coding RNA 837	ENSG00000235824
LINC00838	long intergenic non-protein coding RNA 838	ENSG00000261683
LINC00839	long intergenic non-protein coding RNA 839	ENSG00000185904
LINC00840	long intergenic non-protein coding RNA 840	ENSG00000226808
LINC00841	long intergenic non-protein coding RNA 841	ENSG00000233395
LINC00842	long intergenic non-protein coding RNA 842	
LINC00844	long intergenic non-protein coding RNA 844	ENSG00000237949
LINC00845	long intergenic non-protein coding RNA 845	ENSG00000227244
LINC00846	symbol withdrawn, see [HGNC:54636](/data/gene-symbol-report/#!/hgnc_id/HGNC:54636)	
LINC00847	long intergenic non-protein coding RNA 847	ENSG00000245060
LINC00849	long intergenic non-protein coding RNA 849	
LINC00850	long intergenic non-protein coding RNA 850	ENSG00000280752
LINC00851	long intergenic non-protein coding RNA 851	ENSG00000237282
LINC00852	long intergenic non-protein coding RNA 852	ENSG00000231177
LINC00853	long intergenic non-protein coding RNA 853	ENSG00000224805
LINC00856	long intergenic non-protein coding RNA 856	
LINC00857	long intergenic non-protein coding RNA 857	ENSG00000237523
LINC00858	long intergenic non-protein coding RNA 858	ENSG00000229404
LINC00861	long intergenic non-protein coding RNA 861	ENSG00000245164
LINC00862	long intergenic non-protein coding RNA 862	ENSG00000203721
LINC00863	long intergenic non-protein coding RNA 863	ENSG00000224914
LINC00865	long intergenic non-protein coding RNA 865	ENSG00000232229
LINC00867	long intergenic non-protein coding RNA 867	ENSG00000232139
LINC00868	long intergenic non-protein coding RNA 868	ENSG00000267535
LINC00869	long intergenic non-protein coding RNA 869	ENSG00000277147
LINC00870	long intergenic non-protein coding RNA 870	ENSG00000243083
LINC00871	long intergenic non-protein coding RNA 871	ENSG00000258700
LINC00875	symbol withdrawn, see [HGNC:49454](/data/gene-symbol-report/#!/hgnc_id/HGNC:49454)	
LINC00877	long intergenic non-protein coding RNA 877	ENSG00000241163
LINC00879	long intergenic non-protein coding RNA 879	ENSG00000239589
LINC00880	long intergenic non-protein coding RNA 880	ENSG00000243629
LINC00881	long intergenic non-protein coding RNA 881	ENSG00000241135
LINC00882	long intergenic non-protein coding RNA 882	ENSG00000242759
LINC00885	long intergenic non-protein coding RNA 885	ENSG00000224652
LINC00886	long intergenic non-protein coding RNA 886	ENSG00000240875
LINC00887	long intergenic non-protein coding RNA 887	ENSG00000214145
LINC00889	symbol withdrawn, see [HGNC:3670](/data/gene-symbol-report/#!/hgnc_id/HGNC:3670)	
LINC00891	long intergenic non-protein coding RNA 891	ENSG00000281852
LINC00892	long intergenic non-protein coding RNA 892	ENSG00000233093
LINC00895	long intergenic non-protein coding RNA 895	ENSG00000281548
LINC00896	long intergenic non-protein coding RNA 896	ENSG00000236499
LINC00898	long intergenic non-protein coding RNA 898	ENSG00000205634
LINC00899	long intergenic non-protein coding RNA 899	ENSG00000231711
LINC00900	long intergenic non-protein coding RNA 900	ENSG00000246100
LINC00901	long intergenic non-protein coding RNA 901	ENSG00000242385
LINC00903	long intergenic non-protein coding RNA 903	ENSG00000241397
LINC00904	long intergenic non-protein coding RNA 904	ENSG00000271171
LINC00905	long intergenic non-protein coding RNA 905	ENSG00000167459
LINC00906	long intergenic non-protein coding RNA 906	ENSG00000267339
LINC00907	long intergenic non-protein coding RNA 907	ENSG00000267586
LINC00908	long intergenic non-protein coding RNA 908	ENSG00000266256
LINC00910	long intergenic non-protein coding RNA 910	ENSG00000188825
LINC00911	long intergenic non-protein coding RNA 911	ENSG00000259107
LINC00914	long intergenic non-protein coding RNA 914	
LINC00917	long intergenic non-protein coding RNA 917	ENSG00000168367
LINC00919	long intergenic non-protein coding RNA 919	ENSG00000260268
LINC00920	long intergenic non-protein coding RNA 920	ENSG00000246898
LINC00921	long intergenic non-protein coding RNA 921	
LINC00922	long intergenic non-protein coding RNA 922	ENSG00000261742
LINC00923	long intergenic non-protein coding RNA 923	ENSG00000251209
LINC00924	long intergenic non-protein coding RNA 924	ENSG00000259134
LINC00926	long intergenic non-protein coding RNA 926	ENSG00000247982
LINC00927	long intergenic non-protein coding RNA 927	ENSG00000259361
LINC00928	long intergenic non-protein coding RNA 928	ENSG00000259218
LINC00929	long intergenic non-protein coding RNA 929	ENSG00000259150
LINC00930	long intergenic non-protein coding RNA 930	ENSG00000258647
LINC00933	long intergenic non-protein coding RNA 933	ENSG00000259728
LINC00934	long intergenic non-protein coding RNA 934	ENSG00000281196
LINC00937	long intergenic non-protein coding RNA 937	ENSG00000226091
LINC00938	long intergenic non-protein coding RNA 938	ENSG00000273015
LINC00939	long intergenic non-protein coding RNA 939	ENSG00000249267
LINC00940	long intergenic non-protein coding RNA 940	ENSG00000235049
LINC00941	long intergenic non-protein coding RNA 941	ENSG00000235884
LINC00942	long intergenic non-protein coding RNA 942	ENSG00000249628
LINC00943	long intergenic non-protein coding RNA 943	ENSG00000189238
LINC00944	long intergenic non-protein coding RNA 944	ENSG00000256128
LINC00945	long intergenic non-protein coding RNA 945	ENSG00000232539
LINC00950	symbol withdrawn, see [HGNC:21427](/data/gene-symbol-report/#!/hgnc_id/HGNC:21427)	
LINC00951	long intergenic non-protein coding RNA 951	ENSG00000226070
LINC00954	long intergenic non-protein coding RNA 954	ENSG00000228784
LINC00955	long intergenic non-protein coding RNA 955	ENSG00000216560
LINC00957	long intergenic non-protein coding RNA 957	ENSG00000235314
LINC00958	long intergenic non-protein coding RNA 958	ENSG00000251381
LINC00960	long intergenic non-protein coding RNA 960	ENSG00000242516
LINC00963	long intergenic non-protein coding RNA 963	ENSG00000204054
LINC00964	long intergenic non-protein coding RNA 964	ENSG00000249816
LINC00965	long intergenic non-protein coding RNA 965	
LINC00967	long intergenic non-protein coding RNA 967	ENSG00000253138
LINC00968	long intergenic non-protein coding RNA 968	ENSG00000246430
LINC00969	symbol withdrawn, see [HGNC:53743](/data/gene-symbol-report/#!/hgnc_id/HGNC:53743)	
LINC00970	long intergenic non-protein coding RNA 970	ENSG00000203601
LINC00971	long intergenic non-protein coding RNA 971	ENSG00000242641
LINC00972	long intergenic non-protein coding RNA 972	ENSG00000225128
LINC00973	long intergenic non-protein coding RNA 973	ENSG00000240476
LINC00974	long intergenic non-protein coding RNA 974	ENSG00000226629
LINC00976	long intergenic non-protein coding RNA 976	
LINC00977	long intergenic non-protein coding RNA 977	
LINC00987	long intergenic non-protein coding RNA 987	ENSG00000237248
LINC00989	long intergenic non-protein coding RNA 989	ENSG00000250334
LINC00992	long intergenic non-protein coding RNA 992	ENSG00000248663
LINC00993	long intergenic non-protein coding RNA 993	ENSG00000235687
LINC00994	long intergenic non-protein coding RNA 994	ENSG00000189196
LINC00996	long intergenic non-protein coding RNA 996	ENSG00000242258
LINC00997	long intergenic non-protein coding RNA 997	ENSG00000281332
LINC00999	long intergenic non-protein coding RNA 999	
LINC01000	long intergenic non-protein coding RNA 1000	
LINC01001	long intergenic non-protein coding RNA 1001	ENSG00000230724
LINC01002	long intergenic non-protein coding RNA 1002	ENSG00000282508
LINC01003	long intergenic non-protein coding RNA 1003	ENSG00000261455
LINC01004	symbol withdrawn, see [HGNC:40845](/data/gene-symbol-report/#!/hgnc_id/HGNC:40845)	
LINC01005	long intergenic non-protein coding RNA 1005	ENSG00000228564
LINC01007	long intergenic non-protein coding RNA 1007	ENSG00000233123
LINC01010	long intergenic non-protein coding RNA 1010	ENSG00000236700
LINC01011	long intergenic non-protein coding RNA 1011	ENSG00000244041
LINC01012	long intergenic non-protein coding RNA 1012	ENSG00000281706
LINC01013	long intergenic non-protein coding RNA 1013	ENSG00000228495
LINC01014	long intergenic non-protein coding RNA 1014	ENSG00000223941
LINC01015	long intergenic non-protein coding RNA 1015	ENSG00000224582
LINC01016	long intergenic non-protein coding RNA 1016	ENSG00000249346
LINC01017	symbol withdrawn, see [HGNC:27742](/data/gene-symbol-report/#!/hgnc_id/HGNC:27742)	
LINC01018	long intergenic non-protein coding RNA 1018	ENSG00000250056
LINC01019	long intergenic non-protein coding RNA 1019	ENSG00000248118
LINC01020	long intergenic non-protein coding RNA 1020	ENSG00000215231
LINC01022	long intergenic non-protein coding RNA 1022	ENSG00000232715
LINC01023	long intergenic non-protein coding RNA 1023	ENSG00000272523
LINC01028	long intergenic non-protein coding RNA 1028	ENSG00000267603
LINC01029	long intergenic non-protein coding RNA 1029	ENSG00000265843
LINC01030	long intergenic non-protein coding RNA 1030	ENSG00000253799
LINC01031	long intergenic non-protein coding RNA 1031	ENSG00000232077
LINC01033	long intergenic non-protein coding RNA 1033	ENSG00000249069
LINC01034	long intergenic non-protein coding RNA 1034	ENSG00000224933
LINC01035	long intergenic non-protein coding RNA 1035	ENSG00000226486
LINC01036	long intergenic non-protein coding RNA 1036	ENSG00000230426
LINC01037	long intergenic non-protein coding RNA 1037	
LINC01038	long intergenic non-protein coding RNA 1038	ENSG00000229011
LINC01039	long intergenic non-protein coding RNA 1039	ENSG00000234168
LINC01040	long intergenic non-protein coding RNA 1040	ENSG00000226037
LINC01043	long intergenic non-protein coding RNA 1043	ENSG00000260343
LINC01044	long intergenic non-protein coding RNA 1044	ENSG00000223626
LINC01046	long intergenic non-protein coding RNA 1046	ENSG00000233405
LINC01047	long intergenic non-protein coding RNA 1047	ENSG00000232225
LINC01048	long intergenic non-protein coding RNA 1048	ENSG00000230390
LINC01049	long intergenic non-protein coding RNA 1049	ENSG00000234384
LINC01050	long intergenic non-protein coding RNA 1050	ENSG00000271216
LINC01052	long intergenic non-protein coding RNA 1052	ENSG00000234767
LINC01053	long intergenic non-protein coding RNA 1053	ENSG00000238169
LINC01054	long intergenic non-protein coding RNA 1054	ENSG00000229723
LINC01055	long intergenic non-protein coding RNA 1055	ENSG00000235366
LINC01056	long intergenic non-protein coding RNA 1056	ENSG00000237119
LINC01058	long intergenic non-protein coding RNA 1058	ENSG00000225039
LINC01059	symbol withdrawn, see [HGNC:29214](/data/gene-symbol-report/#!/hgnc_id/HGNC:29214)	
LINC01060	long intergenic non-protein coding RNA 1060	ENSG00000249378
LINC01061	long intergenic non-protein coding RNA 1061	
LINC01063	long intergenic non-protein coding RNA 1063	ENSG00000232065
LINC01065	long intergenic non-protein coding RNA 1065	ENSG00000237092
LINC01066	long intergenic non-protein coding RNA 1066	ENSG00000230403
LINC01067	long intergenic non-protein coding RNA 1067	ENSG00000236053
LINC01068	long intergenic non-protein coding RNA 1068	ENSG00000227676
LINC01069	long intergenic non-protein coding RNA 1069	ENSG00000236133
LINC01070	long intergenic non-protein coding RNA 1070	ENSG00000260102
LINC01072	long intergenic non-protein coding RNA 1072	ENSG00000236076
LINC01073	long intergenic non-protein coding RNA 1073	
LINC01074	long intergenic non-protein coding RNA 1074	ENSG00000227611
LINC01075	long intergenic non-protein coding RNA 1075	ENSG00000230142
LINC01076	long intergenic non-protein coding RNA 1076	ENSG00000225105
LINC01077	long intergenic non-protein coding RNA 1077	ENSG00000233456
LINC01078	long intergenic non-protein coding RNA 1078	ENSG00000223880
LINC01079	long intergenic non-protein coding RNA 1079	ENSG00000229609
LINC01080	long intergenic non-protein coding RNA 1080	ENSG00000281721
LINC01081	long intergenic non-protein coding RNA 1081	ENSG00000268754
LINC01082	long intergenic non-protein coding RNA 1082	ENSG00000269186
LINC01085	long intergenic non-protein coding RNA 1085	ENSG00000248698
LINC01087	long intergenic non-protein coding RNA 1087	ENSG00000224559
LINC01088	long intergenic non-protein coding RNA 1088	ENSG00000249307
LINC01089	long intergenic non-protein coding RNA 1089	ENSG00000212694
LINC01090	long intergenic non-protein coding RNA 1090	ENSG00000231689
LINC01091	long intergenic non-protein coding RNA 1091	ENSG00000249464
LINC01093	long intergenic non-protein coding RNA 1093	ENSG00000249173
LINC01094	long intergenic non-protein coding RNA 1094	ENSG00000251442
LINC01095	long intergenic non-protein coding RNA 1095	ENSG00000248809
LINC01096	long intergenic non-protein coding RNA 1096	ENSG00000246095
LINC01097	long intergenic non-protein coding RNA 1097	
LINC01098	long intergenic non-protein coding RNA 1098	ENSG00000231171
LINC01099	long intergenic non-protein coding RNA 1099	ENSG00000251504
LINC01100	long intergenic non-protein coding RNA 1100	ENSG00000242107
LINC01101	long intergenic non-protein coding RNA 1101	ENSG00000280409
LINC01102	long intergenic non-protein coding RNA 1102	ENSG00000235597
LINC01103	long intergenic non-protein coding RNA 1103	ENSG00000234781
LINC01104	long intergenic non-protein coding RNA 1104	ENSG00000232084
LINC01106	long intergenic non-protein coding RNA 1106	ENSG00000175772
LINC01107	long intergenic non-protein coding RNA 1107	ENSG00000225493
LINC01108	long intergenic non-protein coding RNA 1108	ENSG00000226673
LINC01109	long intergenic non-protein coding RNA 1109	ENSG00000271167
LINC01111	long intergenic non-protein coding RNA 1111	ENSG00000254300
LINC01112	symbol withdrawn, see [HGNC:1399](/data/gene-symbol-report/#!/hgnc_id/HGNC:1399)	
LINC01114	symbol withdrawn, see [HGNC:49513](/data/gene-symbol-report/#!/hgnc_id/HGNC:49513)	
LINC01115	long intergenic non-protein coding RNA 1115	ENSG00000237667
LINC01116	long intergenic non-protein coding RNA 1116	ENSG00000163364
LINC01117	long intergenic non-protein coding RNA 1117	ENSG00000224577
LINC01118	long intergenic non-protein coding RNA 1118	ENSG00000222005
LINC01119	long intergenic non-protein coding RNA 1119	ENSG00000239332
LINC01120	long intergenic non-protein coding RNA 1120	ENSG00000223631
LINC01121	long intergenic non-protein coding RNA 1121	ENSG00000205054
LINC01122	long intergenic non-protein coding RNA 1122	ENSG00000233723
LINC01123	long intergenic non-protein coding RNA 1123	ENSG00000204588
LINC01124	long intergenic non-protein coding RNA 1124	ENSG00000222033
LINC01126	long intergenic non-protein coding RNA 1126	ENSG00000279873
LINC01127	long intergenic non-protein coding RNA 1127	ENSG00000281162
LINC01128	long intergenic non-protein coding RNA 1128	ENSG00000228794
LINC01132	long intergenic non-protein coding RNA 1132	ENSG00000227630
LINC01133	long intergenic non-protein coding RNA 1133	ENSG00000224259
LINC01134	long intergenic non-protein coding RNA 1134	ENSG00000236423
LINC01138	long intergenic non-protein coding RNA 1138	ENSG00000274020
LINC01139	long intergenic non-protein coding RNA 1139	ENSG00000215808
LINC01140	long intergenic non-protein coding RNA 1140	ENSG00000267272
LINC01141	long intergenic non-protein coding RNA 1141	ENSG00000236963
LINC01142	long intergenic non-protein coding RNA 1142	ENSG00000224286
LINC01143	long intergenic non-protein coding RNA 1143	ENSG00000237751
LINC01144	long intergenic non-protein coding RNA 1144	ENSG00000281912
LINC01145	long intergenic non-protein coding RNA 1145	ENSG00000272419
LINC01147	long intergenic non-protein coding RNA 1147	ENSG00000258826
LINC01148	long intergenic non-protein coding RNA 1148	ENSG00000258804
LINC01149	long intergenic non-protein coding RNA 1149	ENSG00000230174
LINC01150	long intergenic non-protein coding RNA 1150	ENSG00000229671
LINC01151	long intergenic non-protein coding RNA 1151	ENSG00000253819
LINC01152	long intergenic non-protein coding RNA 1152	ENSG00000256124
LINC01153	long intergenic non-protein coding RNA 1153	ENSG00000227143
LINC01154	symbol withdrawn, see [HGNC:56187](/data/gene-symbol-report/#!/hgnc_id/HGNC:56187)	
LINC01157	long intergenic non-protein coding RNA 1157	
LINC01159	long intergenic non-protein coding RNA 1159	ENSG00000229743
LINC01160	long intergenic non-protein coding RNA 1160	ENSG00000231346
LINC01162	long intergenic non-protein coding RNA 1162	ENSG00000232790
LINC01163	long intergenic non-protein coding RNA 1163	ENSG00000280953
LINC01164	long intergenic non-protein coding RNA 1164	
LINC01165	long intergenic non-protein coding RNA 1165	ENSG00000229081
LINC01166	long intergenic non-protein coding RNA 1166	ENSG00000232903
LINC01167	symbol withdrawn, see [HGNC:49535](/data/gene-symbol-report/#!/hgnc_id/HGNC:49535)	
LINC01168	long intergenic non-protein coding RNA 1168	ENSG00000240707
LINC01169	long intergenic non-protein coding RNA 1169	ENSG00000259471
LINC01170	long intergenic non-protein coding RNA 1170	ENSG00000253807
LINC01173	long intergenic non-protein coding RNA 1173	ENSG00000280744
LINC01176	long intergenic non-protein coding RNA 1176	ENSG00000281404
LINC01177	long intergenic non-protein coding RNA 1177	ENSG00000261397
LINC01179	long intergenic non-protein coding RNA 1179	ENSG00000249500
LINC01180	long intergenic non-protein coding RNA 1180	ENSG00000266979
LINC01181	long intergenic non-protein coding RNA 1181	ENSG00000250929
LINC01182	long intergenic non-protein coding RNA 1182	ENSG00000250634
LINC01186	long intergenic non-protein coding RNA 1186	ENSG00000236751
LINC01187	long intergenic non-protein coding RNA 1187	ENSG00000249601
LINC01189	long intergenic non-protein coding RNA 1189	ENSG00000232827
LINC01191	long intergenic non-protein coding RNA 1191	ENSG00000234199
LINC01192	long intergenic non-protein coding RNA 1192	ENSG00000241369
LINC01193	long intergenic non-protein coding RNA 1193	ENSG00000258710
LINC01194	long intergenic non-protein coding RNA 1194	ENSG00000248131
LINC01195	long intergenic non-protein coding RNA 1195	ENSG00000261075
LINC01198	long intergenic non-protein coding RNA 1198	ENSG00000231817
LINC01201	long intergenic non-protein coding RNA 1201	ENSG00000228659
LINC01202	long intergenic non-protein coding RNA 1202	ENSG00000280776
LINC01203	long intergenic non-protein coding RNA 1203	ENSG00000226985
LINC01204	long intergenic non-protein coding RNA 1204	ENSG00000229563
LINC01205	long intergenic non-protein coding RNA 1205	ENSG00000228980
LINC01206	long intergenic non-protein coding RNA 1206	ENSG00000242512
LINC01208	long intergenic non-protein coding RNA 1208	ENSG00000223715
LINC01209	long intergenic non-protein coding RNA 1209	ENSG00000228308
LINC01210	long intergenic non-protein coding RNA 1210	ENSG00000239513
LINC01213	long intergenic non-protein coding RNA 1213	ENSG00000244541
LINC01214	long intergenic non-protein coding RNA 1214	ENSG00000243550
LINC01215	long intergenic non-protein coding RNA 1215	ENSG00000271856
LINC01216	long intergenic non-protein coding RNA 1216	ENSG00000250223
LINC01217	long intergenic non-protein coding RNA 1217	ENSG00000251219
LINC01218	long intergenic non-protein coding RNA 1218	ENSG00000251636
LINC01219	long intergenic non-protein coding RNA 1219	ENSG00000232987
LINC01220	long intergenic non-protein coding RNA 1220	ENSG00000259687
LINC01221	long intergenic non-protein coding RNA 1221	ENSG00000235492
LINC01222	long intergenic non-protein coding RNA 1222	ENSG00000233410
LINC01224	long intergenic non-protein coding RNA 1224	ENSG00000269416
